                                                                                                                                                                                                             ?
©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤©¤jowu@jowu-pset:/drives/e/workspace/script/python$ cat snap.log  | grep 871 | grep -E '\[end|begin\]'
I/start   (  871): [TC:76167][TT:10077] [FCBase] [fnctl.media.radio onAwake] [begin]
I/start   (  871): [TC:76168][TT:10079] [FCBase] [fnctl.media.radio onAwake] [end]
I/start   (  871): [TC:76169][TT:10080] [statusbar] [NQStatusBar::updateInitialDisplay()] [initial status bar icon display begin]
I/start   (  871): [TC:76170][TT:10080] [statusbar] [NQStatusBar::updateInitialDisplay()] [get SystemInfo Time Type begin]
I/start   (  871): [TC:76170][TT:10080] [statusbar] [NQStatusBar::updateInitialDisplay()] [get SystemInfo clock Type begin]
I/start   (  871): [TC:76171][TT:10082] [statusbar] [NQStatusBar::updateInitialDisplay()] [get SystemInfo time format begin]
I/start   (  871): [TC:76172][TT:10082] [statusbar] [NQStatusBar::updateInitialDisplay()] [set uicc img time time format begin]
I/start   (  871): [TC:76175][TT:10085] [statusbar] [NQStatusBar::updateInitialDisplay()] [update time display begin]
I/start   (  871): [TC:76175][TT:10085] [statusbar] [NQStatusBar::updateInitialDisplay()] [get system info product country begin]
I/start   (  871): [TC:76175][TT:10085] [statusbar] [NQStatusBar::updateInitialDisplay()] [clear all item in statusbar begin]
I/start   (  871): [TC:76175][TT:10085] [statusbar] [NQStatusBar::updateInitialDisplay()] [check tsl icon display begin]
